"reference_path","bytes","observed_purpose","boundary","owner","disposition","provenance_decision","dependencies"
"force-app/main/default/classes/BulkRecordUploadCSVParser.cls","8932","Reference Apex runtime behavior","Core runtime","Runtime owner","Reimplement","No source license found; behavior-only clean-room input","Salesforce platform"
"force-app/main/default/classes/BulkRecordUploadCSVParser.cls-meta.xml","174","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/classes/BulkRecordUploadCSVParserTest.cls","14360","Reference Apex test behavior","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Salesforce platform"
"force-app/main/default/classes/BulkRecordUploadCSVParserTest.cls-meta.xml","174","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/classes/BulkRecordUploadController.cls","32341","Reference Apex runtime behavior","Core runtime","Runtime owner","Reimplement","No source license found; behavior-only clean-room input","Salesforce platform"
"force-app/main/default/classes/BulkRecordUploadController.cls-meta.xml","174","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/classes/BulkRecordUploadControllerTest.cls","55595","Reference Apex test behavior","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Salesforce platform"
"force-app/main/default/classes/BulkRecordUploadControllerTest.cls-meta.xml","174","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/classes/BulkRecordUploadLogTriggerHandler.cls","5465","Reference Apex runtime behavior","Core runtime","Runtime owner","Reimplement","No source license found; behavior-only clean-room input","Salesforce platform"
"force-app/main/default/classes/BulkRecordUploadLogTriggerHandler.cls-meta.xml","174","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/classes/BulkRecordUploadLogTriggerHandlerTest.cls","10031","Reference Apex test behavior","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Salesforce platform"
"force-app/main/default/classes/BulkRecordUploadLogTriggerHandlerTest.cls-meta.xml","174","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/classes/BulkRecordUploadStandardBatch.cls","14301","Reference Apex runtime behavior","Core runtime","Runtime owner","Reimplement","No source license found; behavior-only clean-room input","Salesforce platform"
"force-app/main/default/classes/BulkRecordUploadStandardBatch.cls-meta.xml","174","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/classes/BulkRecordUploadStandardBatchTest.cls","21949","Reference Apex test behavior","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Salesforce platform"
"force-app/main/default/classes/BulkRecordUploadStandardBatchTest.cls-meta.xml","174","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/classes/BulkRecordUploadTestDataFactory.cls","9837","Reference Apex test behavior","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Salesforce platform"
"force-app/main/default/classes/BulkRecordUploadTestDataFactory.cls-meta.xml","174","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/classes/GlobalPlatformEventHandler.cls","3054","Reference Apex runtime behavior","Core runtime","Runtime owner","Reimplement","No source license found; behavior-only clean-room input","Salesforce platform"
"force-app/main/default/classes/GlobalPlatformEventHandler.cls-meta.xml","174","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/classes/GlobalPlatformEventHandlerTest.cls","7856","Reference Apex test behavior","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Salesforce platform"
"force-app/main/default/classes/GlobalPlatformEventHandlerTest.cls-meta.xml","174","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Example_Account_Delete.md-meta.xml","1707","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Example_Account_Inactive.md-meta.xml","1714","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Example_Account_No_Fields.md-meta.xml","1712","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Example_Contact_Upsert.md-meta.xml","1707","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Example_Opportunity_Create.md-meta.xml","1715","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Example_Opportunity_Update.md-meta.xml","1715","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Test_Bad_Handler.md-meta.xml","1710","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Test_Bad_Match_Key.md-meta.xml","1703","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Test_Bad_SObject.md-meta.xml","1711","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Test_Blank_Label.md-meta.xml","1707","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Test_Blank_SObject.md-meta.xml","1682","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Test_Delete_By_Email.md-meta.xml","1716","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Test_Inactive_Config.md-meta.xml","1706","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Test_Multi_Match_Key.md-meta.xml","1705","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Test_No_Iface_Handler.md-meta.xml","1712","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Test_Null_Batch_Size.md-meta.xml","1688","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Test_Preview_No_Perm.md-meta.xml","1754","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadConfig.Test_Sharing_Groups.md-meta.xml","1761","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Acc_Del_Id.md-meta.xml","1623","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Acc_Del_Name.md-meta.xml","1626","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Acc_Ina_AnnualRevenue.md-meta.xml","1676","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Acc_Ina_Description.md-meta.xml","1829","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Acc_Ina_Id.md-meta.xml","1627","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Acc_Ina_NumberOfEmployees.md-meta.xml","1667","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Acc_Ina_Phone.md-meta.xml","1610","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Acc_Ina_Rating.md-meta.xml","1650","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Acc_Ina_Website.md-meta.xml","1626","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Con_Ups_Department.md-meta.xml","1632","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Con_Ups_Description.md-meta.xml","1787","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Con_Ups_Email.md-meta.xml","1654","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Con_Ups_FirstName.md-meta.xml","1622","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Con_Ups_LastName.md-meta.xml","1615","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Con_Ups_LeadSource.md-meta.xml","1701","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Con_Ups_Phone.md-meta.xml","1630","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Con_Ups_Title.md-meta.xml","1638","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Opp_Cre_AccountId.md-meta.xml","1660","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Opp_Cre_Amount.md-meta.xml","1651","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Opp_Cre_CloseDate.md-meta.xml","1674","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Opp_Cre_Description.md-meta.xml","1703","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Opp_Cre_LeadSource.md-meta.xml","1645","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Opp_Cre_Name.md-meta.xml","1655","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Opp_Cre_StageName.md-meta.xml","1749","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Opp_Cre_Type.md-meta.xml","1704","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Opp_Upd_Amount.md-meta.xml","1661","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Opp_Upd_CloseDate.md-meta.xml","1643","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Opp_Upd_Description.md-meta.xml","1823","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Opp_Upd_Id.md-meta.xml","1643","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Opp_Upd_NextStep.md-meta.xml","1657","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Opp_Upd_Probability.md-meta.xml","1623","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Opp_Upd_StageName.md-meta.xml","1817","Reference example configuration record","Examples","Documentation and test maintainers","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Test_BadSObj_Id.md-meta.xml","1442","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Test_Bad_Handler_Id.md-meta.xml","1599","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Test_Bad_Match_Key_Field.md-meta.xml","1619","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Test_BlankSObj_Id.md-meta.xml","1446","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Test_Blank_Label_Email.md-meta.xml","1581","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Test_Del_Email.md-meta.xml","1616","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Test_Multi_Match_Email.md-meta.xml","1602","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Test_Multi_Match_LastName.md-meta.xml","1599","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Test_No_Iface_Handler_Id.md-meta.xml","1609","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Test_Null_Batch_Email.md-meta.xml","1615","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/customMetadata/BulkRecordUploadFieldBehavior.Test_Sharing_Groups_Name.md-meta.xml","1603","Reference test configuration record","Tests","Test maintainer","Reimplement","No source license found; behavior-only clean-room input","Custom Metadata schema"
"force-app/main/default/flexipages/Bulk_Record_Upload_Center.flexipage-meta.xml","20713","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/flexipages/Bulk_Record_Upload_Guide.flexipage-meta.xml","627","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/flexipages/Bulk_Record_Upload_Log_Record_Page.flexipage-meta.xml","4656","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/layouts/BulkRecordUploadConfig__mdt-Bulk Record Upload Config Layout.layout-meta.xml","5912","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/layouts/BulkRecordUploadFieldBehavior__mdt-Bulk Record Upload Field Behavior Layout.layout-meta.xml","4890","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/layouts/Bulk_Record_Upload_Log__c-Bulk Record Upload Log Layout.layout-meta.xml","7762","Reference Salesforce metadata behavior","Core metadata","Metadata owner","Reimplement","No source license found; behavior-only clean-room input","Metadata API and referenced components"
"force-app/main/default/lwc/bulkRecordUploadCommunity/bulkRecordUploadCommunity.css","1401","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadCommunity/bulkRecordUploadCommunity.html","3168","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadCommunity/bulkRecordUploadCommunity.js","8248","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadCommunity/bulkRecordUploadCommunity.js-meta.xml","2158","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadForm/bulkRecordUploadForm.css","2693","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadForm/bulkRecordUploadForm.html","4215","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadForm/bulkRecordUploadForm.js","13250","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadForm/bulkRecordUploadForm.js-meta.xml","209","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadGuide/bulkRecordUploadGuide.css","2381","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadGuide/bulkRecordUploadGuide.html","118603","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadGuide/bulkRecordUploadGuide.js","17507","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadGuide/bulkRecordUploadGuide.js-meta.xml","1469","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadInternal/bulkRecordUploadInternal.css","2324","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadInternal/bulkRecordUploadInternal.html","4321","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadInternal/bulkRecordUploadInternal.js","8579","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadInternal/bulkRecordUploadInternal.js-meta.xml","2584","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadStatus/bulkRecordUploadStatus.css","2411","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadStatus/bulkRecordUploadStatus.html","5618","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
"force-app/main/default/lwc/bulkRecordUploadStatus/bulkRecordUploadStatus.js","5795","Reference Lightning UI behavior","Core UI","UI owner","Reimplement","No source license found; behavior-only clean-room input","LWC, Apex DTOs, SLDS"
